 x,y,z,phi_inf,phi_d,phi_s,phi,Phi,v_inf_x,v_inf_y,v_inf_z,v_d_x,v_d_y,v_d_z,v_s_x,v_s_y,v_s_z,v_x,v_y,v_z,V_x,V_y,V_z,V
 0.3817266000000E+03, 0.0000000000000E+00,-0.2160000000000E+03, 0.3817266000000E+03,-0.1813745146639E-03,-0.1520050281064E-01,-0.1538187732530E-01, 0.3817112181227E+03, 0.1000000000000E+01, 0.0000000000000E+00, 0.0000000000000E+00,-0.6058766311440E-04, 0.0000000000000E+00,-0.1053664643522E-03,-0.8979829674169E-03, 0.0000000000000E+00,-0.1590439828631E-02,-0.9585706305313E-03, 0.0000000000000E+00,-0.1695806292983E-02, 0.9990414293695E+00, 0.0000000000000E+00,-0.1695806292983E-02, 0.9990428686276E+00
 0.3819068000000E+03, 0.0000000000000E+00,-0.2160000000000E+03, 0.3819068000000E+03,-0.1939785608369E-03,-0.1535604532633E-01,-0.1555002388716E-01, 0.3818912499761E+03, 0.1000000000000E+01, 0.0000000000000E+00, 0.0000000000000E+00,-0.8762250255638E-04, 0.0000000000000E+00,-0.1522213104436E-03,-0.8486059760899E-03, 0.0000000000000E+00,-0.1505273205402E-02,-0.9362284786463E-03, 0.0000000000000E+00,-0.1657494515845E-02, 0.9990637715214E+00, 0.0000000000000E+00,-0.1657494515845E-02, 0.9990651464517E+00
 0.3820869000000E+03, 0.0000000000000E+00,-0.2160000000000E+03, 0.3820869000000E+03,-0.2104210379816E-03,-0.1551984210051E-01,-0.1573026313849E-01, 0.3820711697369E+03, 0.1000000000000E+01, 0.0000000000000E+00, 0.0000000000000E+00,-0.9706403617122E-04, 0.0000000000000E+00,-0.1686125748186E-03,-0.9324385390776E-03, 0.0000000000000E+00,-0.1650850164869E-02,-0.1029502575249E-02, 0.0000000000000E+00,-0.1819462739687E-02, 0.9989704974248E+00, 0.0000000000000E+00,-0.1819462739687E-02, 0.9989721543515E+00
 0.3822671000000E+03, 0.0000000000000E+00,-0.2160000000000E+03, 0.3822671000000E+03,-0.2322476837857E-03,-0.1568666430531E-01,-0.1591891198909E-01, 0.3822511810880E+03, 0.1000000000000E+01, 0.0000000000000E+00, 0.0000000000000E+00,-0.1136936885353E-03, 0.0000000000000E+00,-0.1974666355711E-03,-0.9073692227009E-03, 0.0000000000000E+00,-0.1607811602642E-02,-0.1021062911236E-02, 0.0000000000000E+00,-0.1805278238213E-02, 0.9989789370888E+00, 0.0000000000000E+00,-0.1805278238213E-02, 0.9989805682677E+00
 0.3824473000000E+03, 0.0000000000000E+00,-0.2160000000000E+03, 0.3824473000000E+03,-0.2529343599518E-03,-0.1584477131388E-01,-0.1609770567383E-01, 0.3824312022943E+03, 0.1000000000000E+01, 0.0000000000000E+00, 0.0000000000000E+00,-0.1145268297045E-03, 0.0000000000000E+00,-0.1989574849598E-03,-0.8602846680024E-03, 0.0000000000000E+00,-0.1526621586163E-02,-0.9748114977069E-03, 0.0000000000000E+00,-0.1725579071123E-02, 0.9990251885023E+00, 0.0000000000000E+00,-0.1725579071123E-02, 0.9990266787655E+00
 0.3826275000000E+03, 0.0000000000000E+00,-0.2160000000000E+03, 0.3826275000000E+03,-0.2752764370093E-03,-0.1600111949309E-01,-0.1627639593010E-01, 0.3826112236041E+03, 0.1000000000000E+01, 0.0000000000000E+00, 0.0000000000000E+00,-0.1477477408869E-03, 0.0000000000000E+00,-0.2565492086367E-03,-0.9072706848287E-03, 0.0000000000000E+00,-0.1608361181369E-02,-0.1055018425716E-02, 0.0000000000000E+00,-0.1864910390006E-02, 0.9989449815743E+00, 0.0000000000000E+00,-0.1864910390006E-02, 0.9989467223547E+00
 0.3828077000000E+03, 0.0000000000000E+00,-0.2160000000000E+03, 0.3828077000000E+03,-0.3053311777506E-03,-0.1616358546444E-01,-0.1646891664219E-01, 0.3827912310834E+03, 0.1000000000000E+01, 0.0000000000000E+00, 0.0000000000000E+00,-0.2591069703543E-03, 0.0000000000000E+00,-0.4494988261206E-03,-0.8290681153464E-03, 0.0000000000000E+00,-0.1473282977462E-02,-0.1088175085701E-02, 0.0000000000000E+00,-0.1922781803582E-02, 0.9989118249143E+00, 0.0000000000000E+00,-0.1922781803582E-02, 0.9989136754712E+00
 0.3829878000000E+03, 0.0000000000000E+00,-0.2160000000000E+03, 0.3829878000000E+03,-0.3451546145212E-03,-0.1631502521651E-01,-0.1666017983103E-01, 0.3829711398202E+03, 0.1000000000000E+01, 0.0000000000000E+00, 0.0000000000000E+00,-0.1771599760467E-03, 0.0000000000000E+00,-0.3076546518754E-03,-0.8579683898472E-03, 0.0000000000000E+00,-0.1523687181552E-02,-0.1035128365894E-02, 0.0000000000000E+00,-0.1831341833427E-02, 0.9989648716341E+00, 0.0000000000000E+00,-0.1831341833427E-02, 0.9989665502768E+00
 0.3831680000000E+03, 0.0000000000000E+00,-0.2160000000000E+03, 0.3831680000000E+03,-0.3748823332814E-03,-0.1647132701280E-01,-0.1684620934608E-01, 0.3831511537907E+03, 0.1000000000000E+01, 0.0000000000000E+00, 0.0000000000000E+00,-0.1580337823728E-03, 0.0000000000000E+00,-0.2745957733839E-03,-0.8769626108472E-03, 0.0000000000000E+00,-0.1556943757113E-02,-0.1034996393220E-02, 0.0000000000000E+00,-0.1831539530497E-02, 0.9989650036068E+00, 0.0000000000000E+00,-0.1831539530497E-02, 0.9989666826117E+00
 0.3833482000000E+03, 0.0000000000000E+00,-0.2160000000000E+03, 0.3833482000000E+03,-0.4062975954978E-03,-0.1663515555470E-01,-0.1704145315020E-01, 0.3833311585468E+03, 0.1000000000000E+01, 0.0000000000000E+00, 0.0000000000000E+00,-0.1874609758502E-03, 0.0000000000000E+00,-0.3256379101111E-03,-0.9250004506186E-03, 0.0000000000000E+00,-0.1640522882554E-02,-0.1112461426469E-02, 0.0000000000000E+00,-0.1966160792665E-02, 0.9988875385735E+00, 0.0000000000000E+00,-0.1966160792665E-02, 0.9988894736185E+00
